,targetname,datetime_jd,datetime_str,x,y,z,vx,vy,vz,lighttime,range,range_rate
132,Earth (399),2456650.702586805,A.D. 2013-Dec-24 04:51:43.5000,-0.0401449219425881,0.9827588489986846,-2.823293766538933e-05,-0.01746879909564584,-0.000760325178034985,-3.871770868562609e-07,0.00568067537876208,0.9835784517973615,-4.669958933102237e-05
133,Earth (399),2456651.702586805,A.D. 2013-Dec-25 04:51:43.5000,-0.05760733845924962,0.9818458717167557,-2.866448445561953e-05,-0.01745514165747032,-0.001065643709975569,-4.726002741722205e-07,0.005680420974679427,0.9835344030959198,-4.143587694469528e-05
134,Earth (399),2456652.702586805,A.D. 2013-Dec-26 04:51:43.5000,-0.07505341068720589,0.980627544708763,-2.917059377385655e-05,-0.01743610015412609,-0.001371012598653552,-5.353881697419071e-07,0.005680196283932792,0.983495499099128,-3.641492731461188e-05
135,Earth (399),2456653.702586805,A.D. 2013-Dec-27 04:51:43.5000,-0.09247772158821121,0.9791038552409378,-2.972589241500589e-05,-0.01741160669803629,-0.001676354872809687,-5.700804283866976e-07,0.00567999982531626,0.9834614833441333,-3.166345167217568e-05
136,Earth (399),2456654.702586805,A.D. 2013-Dec-28 04:51:43.5000,-0.1098747802299203,0.9772748738616917,-3.029966782799708e-05,-0.01738158130500607,-0.001981579707648462,-5.715453602907495e-07,0.00567982998038354,0.9834320756056457,-2.720128440888645e-05
137,Earth (399),2456655.702586805,A.D. 2013-Dec-29 04:51:43.5000,-0.1272390100635952,0.975140772381658,-3.085652014838143e-05,-0.01734593335663893,-0.002286573790307186,-5.356909700478354e-07,0.005679685052828484,0.9834069821773612,-2.303413229816611e-05
138,Earth (399),2456656.702586805,A.D. 2013-Dec-30 04:51:43.5000,-0.1445647412316623,0.9727018512668053,-3.135791308654779e-05,-0.01730456859783887,-0.002591191575410359,-4.605393167354832e-07,0.005679563376105644,0.9833859145058803,-1.914441339582181e-05
139,Earth (399),2456657.702586805,A.D. 2013-Dec-31 04:51:43.5000,-0.1618462133964065,0.9699585758090058,-3.176490793626913e-05,-0.01725740325584618,-0.002895248308897418,-3.474610389997622e-07,0.005679463473117454,0.983368616839687,-1.548304979460722e-05
140,Earth (399),2456658.702586805,A.D. 2014-Jan-01 04:51:43.5000,-0.1790775957810643,0.9669116156115034,-3.204202136000628e-05,-0.01720438370494943,-0.003198521293080325,-2.020882461988676e-07,0.005679384249460744,0.9833548996887467,-1.196690412712492e-05
141,Earth (399),2456659.702586805,A.D. 2014-Jan-02 04:51:43.5000,-0.196253027237744,0.9635618768485396,-3.216157707430266e-05,-0.01714550546983709,-0.00350076337592151,-3.42963735146762e-08,0.005679325174262909,0.9833446711353175,-8.48611485947438e-06
142,Earth (399),2456660.702586805,A.D. 2014-Jan-03 04:51:43.5000,-0.2133666712826096,0.9599105153186244,-3.210741323346556e-05,-0.01708082274334374,-0.003801726975527966,1.430727049447791e-07,0.005679286388391686,0.9833379555698917,-4.921414077940999e-06
143,Earth (399),2456661.702586805,A.D. 2014-Jan-04 04:51:43.5000,-0.2304127732397658,0.9559589235163625,-3.187678987049085e-05,-0.01701044272516508,-0.004101190233292043,3.164212365132036e-07,0.005679268696784657,0.9833348923630911,-1.165552354126084e-06
144,Earth (399),2456662.702586805,A.D. 2014-Jan-05 04:51:43.5000,-0.2473857047010148,0.9517086949115225,-3.147997242210711e-05,-0.01693450696759591,-0.004398974963135637,4.736701829763499e-07,0.005679273446344692,0.9833357147239187,2.85986146485574e-06
145,Earth (399),2456663.702586805,A.D. 2014-Jan-06 04:51:43.5000,-0.2642799863120657,0.9471615769326716,-3.093787395221345e-05,-0.01685316833980548,-0.004694951052657609,6.057646392805609e-07,0.005679302334819974,0.98334071660836,7.197746052035133e-06
146,Earth (399),2456664.702586805,A.D. 2014-Jan-07 04:51:43.5000,-0.2810902891373684,0.9423194257021589,-3.027872611466386e-05,-0.01676657236436267,-0.00498902940784408,7.071144660717858e-07,0.005679357211394938,0.9833502181927746,1.185877188434812e-05
147,Earth (399),2456665.702586805,A.D. 2014-Jan-08 04:51:43.5000,-0.2978114214656398,0.9371841710040992,-2.953475339380559e-05,-0.01667484697118379,-0.005281149647276618,7.752173097645556e-07,0.005679439913978441,0.9833645377012166,1.682997662450918e-05
148,Earth (399),2456666.702586805,A.D. 2014-Jan-09 04:51:43.5000,-0.3144383093779264,0.9317577937247747,-2.873944279468061e-05,-0.0165780998561488,-0.005571268191369824,8.099191728003598e-07,0.005679552160095496,0.9833839725139231,2.208405928557573e-05
149,Earth (399),2456667.702586805,A.D. 2014-Jan-10 04:51:43.5000,-0.3309659772254389,0.9260423136980341,-2.792557422597135e-05,-0.01647642039210976,-0.005859349597370092,8.126778031702768e-07,0.005679695486220012,0.9834087886631051,2.758659059768691e-05
150,Earth (399),2456668.702586805,A.D. 2014-Jan-11 04:51:43.5000,-0.347389531032238,0.9200397843684072,-2.712390493629402e-05,-0.01636988315997515,-0.006145361507299945,7.860061163373418e-07,0.005679871220626883,0.9834392161324308,3.330041765405915e-05
151,Earth (399),2456669.702586805,A.D. 2014-Jan-12 04:51:43.5000,-0.363704145422632,0.9137522910502657,-2.636230433075361e-05,-0.01625855125842023,-0.006429272313243777,7.331244474520401e-07,0.005680080474546904,0.9834754473255484,3.9187725549428e-05
152,Earth (399),2456670.702586805,A.D. 2014-Jan-13 04:51:43.5000,-0.3799050533900568,0.9071819506576214,-2.566515000902093e-05,-0.01614247861914955,-0.00671105036358558,6.577751287896113e-07,0.005680324140489973,0.9835176367757567,4.521060254763268e-05
153,Earth (399),2456671.702586805,A.D. 2014-Jan-14 04:51:43.5000,-0.3959875378367102,0.9003309118756188,-2.505285624080904e-05,-0.01602171126104634,-0.006990663739937848,5.641318651897368e-07,0.005680602891456063,0.9835659010093879,5.133089751631288e-05
