time (Julian Date),wavelength (nm),irradiance (W/m^2/nm)
2458850.0,1183.45,NaN
2458850.0,1188.90,NaN
2458850.0,1194.35,NaN
2458850.0,1199.82,NaN
2458850.0,1205.28,NaN
2458850.0,1210.76,NaN
2458850.0,1216.23,NaN
2458850.0,1221.72,NaN
2458850.0,1227.20,NaN
2458850.0,1232.69,NaN
2458850.0,1238.19,NaN
2458850.0,1243.68,NaN
2458850.0,1249.18,NaN
2458850.0,1254.68,NaN
2458850.0,1260.19,NaN
2458850.0,1265.69,NaN
2458850.0,1271.20,NaN
2458850.0,1276.70,NaN
2458850.0,1282.21,NaN
2458850.0,1287.72,NaN
2458850.0,1293.22,NaN
2458850.0,1298.73,NaN
2458850.0,1304.24,NaN
2458850.0,1309.74,NaN
2458850.0,1315.24,NaN
2458850.0,1320.74,NaN
2458850.0,1326.24,NaN
2458850.0,1331.74,NaN
2458850.0,1337.23,NaN
2458850.0,1342.72,NaN
2458850.0,1348.21,NaN
2458850.0,1353.69,NaN
2458850.0,1359.17,NaN
2458850.0,1364.64,NaN
2458850.0,1370.12,NaN
2458850.0,1375.58,NaN
2458850.0,1381.04,NaN
2458850.0,1386.50,NaN
2458850.0,1391.95,NaN
2458850.0,1397.40,NaN
2458850.0,1402.84,NaN
2458850.0,1408.28,NaN
2458850.0,1413.71,NaN
2458850.0,1419.13,NaN
2458850.0,1424.55,NaN
2458850.0,1429.96,NaN
2458850.0,1435.36,NaN
2458850.0,1440.76,NaN
2458850.0,1446.15,NaN
2458850.0,1451.54,NaN
2458850.0,1456.91,NaN
2458850.0,1462.28,NaN
2458850.0,1467.64,NaN
2458850.0,1473.00,NaN
2458850.0,1478.34,NaN
2458850.0,1483.68,NaN
2458850.0,1489.01,NaN
2458850.0,1494.33,NaN
2458850.0,1499.65,NaN
2458850.0,1504.95,NaN
2458850.0,1510.25,NaN
2458850.0,1515.54,NaN
2458850.0,1520.82,NaN
2458850.0,1526.09,NaN
2458850.0,1531.36,NaN
2458850.0,1536.61,NaN
2458850.0,1541.86,NaN
2458850.0,1547.09,NaN
2458850.0,1552.32,NaN
2458850.0,1557.54,NaN
2458850.0,1562.75,NaN
2458850.0,1567.95,NaN
2458850.0,1573.14,NaN
2458850.0,1578.32,NaN
2458850.0,1583.49,NaN
2458850.0,1588.65,NaN
2458850.0,1593.80,NaN
2458850.0,1598.95,NaN
2458850.0,1601.18,0.2533208
2458850.0,1616.86,0.2497929
2458850.0,1632.42,0.2420638
2458850.0,1647.91,0.2351971
2458850.0,1663.31,0.2290007
2458850.0,1678.61,0.2217798
2458850.0,1693.82,0.2162534
